Douglas Point (Prototype),reactordetails.aspx?id=27570&rid=C3184B7F-2520-4158-BEC4-4117D275CAF8, PHWR/CANDU, Shut down,58.5773,-3.74518
Dounreay DFR,reactordetails.aspx?id=27570&rid=CB2F69DC-D838-44FC-AD26-277572649002, FBR, Shut down,58.5777,-3.74518
Dounreay PFR,reactordetails.aspx?id=27570&rid=84B9FBF0-4F48-4F9E-B6F4-C345D0EC8F5E, FBR, Shut down,41.3527,-88.3491
Dresden-1,reactordetails.aspx?id=27570&rid=8422EA7D-5E1B-41E3-8553-91A58E5861A9, BWR, Shut down,41.38615,-88.26802
Dresden-2,reactordetails.aspx?id=27570&rid=36AF0927-244D-4050-9C3E-64D0EFFA6F91, BWR, Operating,41.38513,-88.26837
Dresden-3,reactordetails.aspx?id=27570&rid=6591C559-351D-455F-9062-87C54CB89EC9, BWR, Operating,42.101,-91.776
Duane Arnold-1,reactordetails.aspx?id=27570&rid=886A5242-C029-4CE3-9766-9A4E52717DAC, BWR, Operating,49.0893,16.1491
Dukovany-1,reactordetails.aspx?id=27570&rid=9966674E-5F50-47E8-A34E-C341631227A5, PWR/VVER, Operating,49.0889,16.1489
Dukovany-2,reactordetails.aspx?id=27570&rid=88B14DD8-BAD1-46C3-BACE-594AFDDD6AAE, PWR/VVER, Operating,49.0886,16.1488
Dukovany-3,reactordetails.aspx?id=27570&rid=7EE9144E-1FCD-454C-853E-2F09162FD361, PWR/VVER, Operating,49.0883,16.1486
Dukovany-4,reactordetails.aspx?id=27570&rid=5D71298F-5636-4018-8F0B-BA3F30EE9E67, PWR/VVER, Operating,50.9136,0.961755
